Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	18:54 4/0/2023	107
Mike	18:54 4/0/2023	119
Tom	18:54 4/0/2023	191
TomH	18:54 4/0/2023	143
TomH	15:20 5/0/2023	118
Mike	15:22 5/0/2023	130
Mike	15:38 5/0/2023	77
TomH	15:42 5/0/2023	126
Mike	15:43 5/0/2023	144
Jim	15:43 5/0/2023	109
Mike	15:48 5/0/2023	148
TomH	15:52 5/0/2023	106
Lana	15:57 5/0/2023	145
Lana	15:59 5/0/2023	137
Lana	16:1 5/0/2023	169
